EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
8882	ZPR1	essential_core	ZNF259	11q23.3
8886	DDX18	essential_core	MrDb	2q14.1
8890	EIF2B4	essential_core	EIF-2B|EIF2B|EIF2Bdelta	2p23.3
8891	EIF2B3	essential_core	EIF-2B|EIF2Bgamma	1p34.1
8892	EIF2B2	essential_core	EIF-2Bbeta|EIF2B	14q24.3
8893	EIF2B5	essential_core	CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM	3q27.1
8894	EIF2S2	essential_core	EIF2|EIF2B|EIF2beta|PPP1R67|eIF-2-beta	20q11.22
8896	BUD31	essential_core	Cwc14|EDG-2|EDG2|G10|YCR063W|fSAP17	7q22.1
9013	TAF1C	essential_core	MGC:39976|SL1|TAFI110|TAFI95	16q24.1
9014	TAF1B	essential_core	MGC:9349|RAF1B|RAFI63|SL1|TAFI63	2p25.1
9039	UBA3	essential_core	NAE2|UBE1C|hUBA3	3p14.1
9045	RPL14	essential_core	CAG-ISL-7|CTG-B33|L14|RL14|hRL14	3p22.1
9054	NFS1	essential_core	HUSSY-08|IscS|NIFS	20q11.22
9055	PRC1	essential_core	ASE1	15q26.1
9093	DNAJA3	essential_core	HCA57|TID1|hTID-1	16p13.3
9114	ATP6V0D1	essential_core	ATP6D|ATP6DV|P39|VATX|VMA6|VPATPD	16q22.1
9126	SMC3	essential_core	BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1	10q25.2
9128	PRPF4	essential_core	HPRP4|HPRP4P|PRP4|Prp4p|RP70|SNRNP60	9q32
9129	PRPF3	essential_core	HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90	1q21.2
9136	RRP9	essential_core	RNU3IP2|U3-55K	3p21.2
9150	CTDP1	essential_core	CCFDN|FCP1	18q23
9184	BUB3	essential_core	BUB3L|hBUB3	10q26.13
9276	COPB2	essential_core	beta'-COP	3q23
9277	WDR46	essential_core	BING4|C6orf11|FP221|UTP7	6p21.32
9282	MED14	essential_core	CRSP150|CRSP2|CSRP|CXorf4|DRIP150|EXLM1|RGR1|TRAP170	Xp11.4
9328	GTF3C5	essential_core	TFIIIC63|TFIIICepsilon|TFiiiC2-63	9q34.13
9329	GTF3C4	essential_core	KAT12|TF3C-delta|TFIII90|TFIIIC290|TFIIIC90|TFIIICDELTA	9q34.13
9330	GTF3C3	essential_core	TFIIIC102|TFIIICgamma|TFiiiC2-102	2q33.1
9349	RPL23	essential_core	L23|rpL17	17q12
9391	CIAO1	essential_core	CIA1|WDR39	2q11.2
9440	MED17	essential_core	CRSP6|CRSP77|DRIP80|TRAP80	11q21
9442	MED27	essential_core	CRAP34|CRSP34|CRSP8|MED3|TRAP37	9q34.13
9443	MED7	essential_core	ARC34|CRSP33|CRSP9	5q33.3
9453	GGPS1	essential_core	GGPPS|GGPPS1	1q42.3
9477	MED20	essential_core	PRO0213|TRFP	6p21.1
9512	PMPCB	essential_core	Beta-MPP|MPP11|MPPB|MPPP52|P-52	7q22.1
9533	POLR1C	essential_core	AC40|HLD11|RPA39|RPA40|RPA5|RPAC1|RPC40|TCS3	6p21.1
9551	ATP5J2	essential_core	ATP5JL	7q22.1
9631	NUP155	essential_core	ATFB15|N155	5p13.2
9669	EIF5B	essential_core	IF2	2q11.2
9688	NUP93	essential_core	NIC96|NPHS12	16q13
9733	SART3	essential_core	DSAP1|P100|RP11-13G14|TIP110|p110|p110(nrb)	12q23.3
